Group,Class,Case,n,R2_CV,RMSE_CV,RRMSE_CV,R2_Test,RMSE_Test,RRMSE_Test
ASP,All,Case1,19712,0.9263433205906066,515.1555738746565,14.534933946033892,0.930355077497112,504.8037140852476,14.10322010279383
ASP,All,Case2,19712,0.9149450586303519,553.4920068693897,15.616703562661893,0.920280113647455,540.0837957968929,15.088875999810192
ASP,All,Case3,19712,0.9289281612220996,505.9184764955282,14.27454470257691,0.9307631509550328,503.3226324156083,14.061841602211706
ASP,All,Case4,19712,0.9297081083016566,503.18972396427864,14.19741605723694,0.9314422820700963,500.8480511876843,13.992706683537632
ASP,All,Case5,19712,0.9276894683291926,510.41295383100567,14.401384055997983,0.931509018189441,500.6042216494013,13.98589456716444
ASP,All,Case6,19712,0.9292370895648677,504.8009761438387,14.24240161164062,0.933087844350073,494.8007195577193,13.823756165480267
ASP,All,Case7,19712,0.9302872603118602,501.1513892638707,14.140118484972465,0.9328711131958498,495.60141139564877,13.846125916157106
ASP,All,Case8,19712,0.9174836605891079,545.2988584025582,15.385841336106822,0.921976924824327,534.3051294858928,14.92743146085248
ASP,Dry,Case1,7495,0.877717778947015,324.0026499202331,21.083939921952975,0.8759642136366413,308.46940163479906,20.236239282901785
ASP,Dry,Case2,7495,0.8736771856613214,329.5177832101966,21.441275473537154,0.870084953812871,315.6954443816642,20.71028283250208
ASP,Dry,Case3,7495,0.8749878220417703,327.76148960304556,21.330040914239703,0.8666238209620916,319.87310397353934,20.984346057884103
ASP,Dry,Case4,7495,0.8761894427447089,326.08181091311934,21.22014061466276,0.8690434624516713,316.95833791922075,20.793131295524294
ASP,Dry,Case5,7495,0.8783980174868489,323.18268145694185,21.032837359924017,0.8687214059051134,317.34784052521985,20.818683482854837
ASP,Dry,Case6,7495,0.876208771324025,325.9511620832178,21.212048822122956,0.8637061875750704,323.3528244220608,21.212623012618348
ASP,Dry,Case7,7495,0.8782150184816025,323.4362713950785,21.046127217389,0.8732027247640024,311.8843259207323,20.46026547356089
ASP,Dry,Case8,7495,0.8377185024932448,373.41994327920827,24.30542861012119,0.828265095615708,362.96761281978803,23.811436162024393
ASP,Wet,Case1,2286,0.5496213545035061,597.0937499966506,11.626591623639365,0.5277947167368906,588.3181760099028,11.318595556137243
ASP,Wet,Case2,2286,0.5384439075779833,604.1483066353634,11.763121624849138,0.5498892936327615,574.3895323475862,11.050623749914037
ASP,Wet,Case3,2286,0.5460743633681894,599.0142928552234,11.66268293037363,0.5357221376215957,583.3589069493167,11.22318466618049
ASP,Wet,Case4,2286,0.5460743633681894,599.0142928552234,11.66268293037363,0.5357221376215957,583.3589069493167,11.22318466618049
ASP,Wet,Case5,2286,0.5384439075779833,604.1483066353634,11.763121624849138,0.5498892936327615,574.3895323475862,11.050623749914037
ASP,Wet,Case6,2286,0.5414090594366668,603.0977075756823,11.745335466759522,0.5548907988038045,571.189389252674,10.989056511487483
ASP,Wet,Case7,2286,0.5414090594366668,603.0977075756823,11.745335466759522,0.5548907988038045,571.189389252674,10.989056511487483
ASP,Wet,Case8,2286,0.4026439476528464,688.8130783838192,13.414175912211785,0.46962873735919597,623.5005448903344,11.995465692574657
ASP,Normal,Case1,9931,0.7481269088911844,588.5954221219973,12.497192987062451,0.7678790777319988,556.7444185486676,11.818439561946064
ASP,Normal,Case2,9931,0.745969133118809,591.0972334865024,12.550978413518258,0.7718688278395436,551.9389513390744,11.716430234341955
ASP,Normal,Case3,9931,0.7521719386435228,583.8656992144845,12.397309301570985,0.7793274129424438,542.8413493807345,11.523308479868751
ASP,Normal,Case4,9931,0.7538539638804413,581.8781108011009,12.35532445706511,0.7756156058095312,547.3877227538445,11.619817824454923
ASP,Normal,Case5,9931,0.7495346911981338,586.9770656567631,12.463760549045773,0.7697086828911212,554.5459143668065,11.771770232296127
ASP,Normal,Case6,9931,0.7518964218205789,584.2043429821958,12.404131265644448,0.7840617899109792,536.9866350000494,11.399025980116068
ASP,Normal,Case7,9931,0.7528486509470341,583.0920464182433,12.380710092602445,0.7794302938540135,542.7147941877618,11.52062199600009
ASP,Normal,Case8,9931,0.7160178357547579,625.0682999826623,13.272667610067671,0.7422274928430618,586.7012667988558,12.454356490281272
BAU,All,Case1,18985,0.884670646004943,512.3930473472502,14.457291665968551,0.8840015844881686,513.2008757774271,14.465059253312887
BAU,All,Case2,18985,0.8882728190944398,504.3550601629757,14.230120994043673,0.8853160067504442,510.2849545174692,14.38287121390358
BAU,All,Case3,18985,0.8929481576307456,493.77284452236125,13.931705501839366,0.8907561703465391,498.03494739036273,14.037593005485343
BAU,All,Case4,18985,0.8929597759583082,493.69321197386336,13.929412024543378,0.8896259034310648,500.6047213419192,14.110024550775623
BAU,All,Case5,18985,0.8916416732440199,496.70881159842673,14.014215500160441,0.8870705542282772,506.36649140595375,14.272425570169775
BAU,All,Case6,18985,0.8935370312194971,492.44075705952383,13.894177536240989,0.8901895636464116,499.3248370872134,14.073949784625517
BAU,All,Case7,18985,0.8953809868690087,488.0858133741688,13.771056011866747,0.8892355763058162,501.4891097979117,14.13495188824265
BAU,All,Case8,18985,0.87563334217738,532.2258800573569,15.016767302181051,0.8744792613924317,533.8498234009653,15.047069660915104
BAU,Dry,Case1,6008,0.82139118666252,374.4365962538075,18.748398999407193,0.8144590951364243,388.20941456276284,19.233882300340753
BAU,Dry,Case2,6008,0.8202788572765257,375.6056977625154,18.80656443150544,0.8182488163727702,384.2243213092168,19.036440374103815
BAU,Dry,Case3,6008,0.8373708497727593,357.4439590300017,17.892300399863913,0.8411972844326923,359.14943749907354,17.79410222925946
BAU,Dry,Case4,6008,0.8413613943487688,352.99438007961857,17.671635457539683,0.8425158900370345,357.6552450409232,17.720072283575405
BAU,Dry,Case5,6008,0.8336711429587433,361.32397529940215,18.09099245283508,0.823732978808574,378.3831260503749,18.74703764998799
BAU,Dry,Case6,6008,0.8430525603753113,351.3813723795414,17.587168861929673,0.8437779253982888,356.2192858677557,17.64892751302442
BAU,Dry,Case7,6008,0.843167061441029,351.4410987148503,17.58610846277333,0.8424962631989248,357.67753117156474,17.721176452607917
BAU,Dry,Case8,6008,0.8256176434418047,370.6123079440167,18.54396282042831,0.8165656716418186,385.99931607116804,19.12438270382177
BAU,Wet,Case1,3494,0.716878941159072,408.06178995854606,10.891640489644518,0.7162572173831736,394.8618353326101,10.528611594356466
BAU,Wet,Case2,3494,0.7161369445624493,408.4646971958168,10.902459699377879,0.7099547888261999,399.22304034960604,10.644898937418198
BAU,Wet,Case3,3494,0.7115857760569877,411.9017695638082,10.993785030109535,0.7224608477619405,390.52143524053207,10.41287899463559
BAU,Wet,Case4,3494,0.7115857760569877,411.9017695638082,10.993785030109535,0.7224608477619405,390.52143524053207,10.41287899463559
BAU,Wet,Case5,3494,0.7161369445624493,408.4646971958168,10.902459699377879,0.7099547888261999,399.22304034960604,10.644898937418198
BAU,Wet,Case6,3494,0.7158470118468684,408.86581100350514,10.91325561801124,0.7249661393939765,388.7548592701928,10.365774943093212
BAU,Wet,Case7,3494,0.7158470118468684,408.86581100350514,10.91325561801124,0.7249661393939765,388.7548592701928,10.365774943093212
BAU,Wet,Case8,3494,0.6342569134132795,463.86261771266817,12.381316197042384,0.6335315653416473,448.74645899437917,11.965393330846517
BAU,Normal,Case1,9483,0.760825771309019,593.3439740581628,13.34592445994098,0.7889042576550727,581.5259531925253,13.059830318304305
BAU,Normal,Case2,9483,0.7675835803476686,584.8659239269925,13.155827817163253,0.7955834846327449,572.2520474408524,12.85155821137618
BAU,Normal,Case3,9483,0.7701262106832564,581.6371920925557,13.083551900255987,0.8019372984561051,563.2882785016774,12.650251114564018
BAU,Normal,Case4,9483,0.7701262106832564,581.6371920925557,13.083551900255987,0.8019372984561051,563.2882785016774,12.650251114564018
BAU,Normal,Case5,9483,0.7675835803476686,584.8659239269925,13.155827817163253,0.7955834846327449,572.2520474408524,12.85155821137618
BAU,Normal,Case6,9483,0.7736228858668537,577.2889964327268,12.985390388158104,0.7990767337066089,567.3414047276043,12.741275668977584
BAU,Normal,Case7,9483,0.7736228858668537,577.2889964327268,12.985390388158104,0.7990767337066089,567.3414047276043,12.741275668977584
BAU,Normal,Case8,9483,0.7298047205198421,630.6960535259498,14.185983222283264,0.7653854779817422,613.0654052890908,13.768139019665163
ASP+BAU,All,Case1,38697,0.9050983363197924,530.4674259828673,14.942428111743633,0.9131680420416967,505.67532351345653,14.255977388976444
ASP+BAU,All,Case2,38697,0.8933882797158856,562.262490883735,15.838217920353168,0.9034199028964942,533.3051564794798,15.034916474411848
ASP+BAU,All,Case3,38697,0.9089991014543573,519.4861071853251,14.632685574330077,0.9158939898405757,497.6746041113056,14.030421445095046
ASP+BAU,All,Case4,38697,0.908761416105639,520.1818635189977,14.652342497978484,0.9170820108884659,494.14720656406536,13.930977202243733
ASP+BAU,All,Case5,38697,0.9067692573798464,525.8294344698279,14.811148993175626,0.9138904465289248,503.5674297289554,14.196551736323626
ASP+BAU,All,Case6,38697,0.9092222996974716,518.8703390198299,14.614961442364969,0.9158989393775543,497.65996012157956,14.030008602354435
ASP+BAU,All,Case7,38697,0.9093907799635929,518.3946832417662,14.601822054179241,0.9163660379202733,496.27603044087755,13.990992915176065
ASP+BAU,All,Case8,38697,0.8912475781511056,567.8815584503984,15.995524171804087,0.8998508604880097,543.0697032681252,15.310198165567629
ASP+BAU,Dry,Case1,13503,0.849683016052323,362.6905047172868,20.837640724490445,0.8602479496452975,347.48623963858057,19.871246245654543
ASP+BAU,Dry,Case2,13503,0.8492465840306428,363.2365113703488,20.867956423910183,0.8605808149641747,347.07216673586316,19.847567194011788
ASP+BAU,Dry,Case3,13503,0.8543643449048692,356.87910687242885,20.504423822285766,0.8669140163145312,339.0975692630162,19.391534200424083
ASP+BAU,Dry,Case4,13503,0.8569270723654867,353.91056568053517,20.333541985331614,0.8699318392305024,335.23087971883115,19.170414825544903
ASP+BAU,Dry,Case5,13503,0.8530185290896748,358.6869293419656,20.60776676783842,0.862376791260353,344.829455877884,19.719316188265314
