,ASP Mean,ASP SD,ASP Min,ASP Max,BAU Mean,BAU SD,BAU Min,BAU Max
Carbon (0-15 cm),0.892112030295759,0.18567592958680376,0.4095656,1.492717,0.8622740760974452,0.23971316045479646,0.43723178,1.6159371
Carbon (15-30 cm),0.7452798045713271,0.20240647258524616,0.41156414,1.9199979,0.7289180222338688,0.2271198014602142,0.36714476,2.1723518
Clay (0-15 cm),24.33676052521307,2.761956454949232,17.070564,30.655342,24.39688666210166,3.661000215543786,14.63258,30.460379
Clay (15-30 cm),31.151894047331577,4.258526530787464,19.841572,42.513966,30.652739944271794,4.699189114208289,18.782965,39.66484
Clay (30-60 cm),29.675890371651786,3.386106200065964,18.559294,42.79804,29.572235020805895,4.226190699205695,17.047155,44.539677
Clay (60-90 cm),26.29608909889915,3.36821109183257,14.743708,40.052784,25.635753253410588,3.5451020522488754,15.804774,38.95301
Clay (90-120 cm),23.328888959694606,2.9810233098790992,14.864944,35.57687,23.122323165630757,3.4118393711306583,13.390898,37.927055
Sand (0-15 cm),45.84008982558847,8.50915391121074,29.00969,69.76067,48.13462412673163,11.09306160973682,26.347042,70.77134
Sand (15-30 cm),41.84503550705154,7.742905280806974,27.767632,65.01488,42.91857597945747,10.163266061795875,27.455954,68.719864
Sand (30-60 cm),44.48296888311689,8.008758825752407,26.059694,64.42061,44.507831949855145,10.283669389773266,24.220354,65.301956
Sand (60-90 cm),50.23289467177354,9.47687992171217,24.280687,70.33635,50.261914769870955,11.64998144877149,24.908936,72.767525
Sand (90-120 cm),55.935930589387176,10.121128687249895,24.265282,72.59469,53.96991525451672,12.214395201048506,27.70036,74.662476
Silt (0-15 cm),29.81445210917208,6.007395554709907,11.485378,43.596916,27.483512650566237,7.5834179110383015,10.4660425,44.237473
Silt (15-30 cm),27.336516175603695,4.6668847680680665,14.4028845,38.54215,26.497790814432445,5.920967609213407,8.696779,42.11009
Silt (30-60 cm),25.831277853312702,5.984781338941979,10.523448,44.515007,25.96688103721359,7.538590272122816,12.144312,40.80174
Silt (60-90 cm),23.470423294490665,7.9147616219611026,10.11006,45.06092,24.173496962075323,10.654052338467944,10.00409,46.936794
Silt (90-120 cm),20.775151098797686,9.276507843553585,9.571173,47.787586,22.903885035501716,12.248455288518015,7.509394,49.97715
OM (0-15 cm),1.9674561509182222,0.3545944779178394,1.0751228,3.1411996,1.9407257424693178,0.4755047427749266,0.7103405,3.1384683
OM (15-30 cm),1.8287031203124997,0.23958227515557687,1.0553381,2.507781,1.8221134730792732,0.38192850714509524,0.667035,2.8313835
pH (0-15 cm),6.211009803865665,0.40517500409825263,5.384604,8.038415,6.44005337815644,0.2934977444405317,5.8351254,7.6800804
pH (15-30 cm),7.414920212012988,0.31835682935566545,6.664803,8.317295,7.660016784851198,0.2830349250997418,6.7562566,8.419602
Elevation,1378.7160506290584,2.4427633351919837,1375.1,1384.97,1379.0862343955755,2.7149868231931453,1375.1,1384.59
Aspect,175.64305526142968,126.5416245457612,-1.0,359.99054,178.234174166047,120.37370783265158,-1.0,359.97086
Curvature,-0.0025136377980418023,0.18397434801503165,-1.6391602,4.7197266,0.009779847781617067,0.38196694886612087,-9.000488,14.320801
Slope,0.615123922155489,0.3724191911357814,0.0,3.7772062,0.7324996792228075,0.5603109921874083,0.0,10.271333
TPI,-0.00019663030103490254,0.013369792804926164,-0.11999512,0.35888672,0.0008133669929417961,0.029122369581981833,-0.6411133,0.8067627
Nitrogen,31.210399266653088,18.938699708531463,0.0,70.0,30.173294706347114,23.230157468115994,0.0,60.0
SM 30 cm,16.45734007480215,1.534207764984103,11.306215,20.950436,16.759764537687648,1.2929530787060197,12.698349,21.946756
SM 60 cm,20.871834516056207,2.36984826876632,12.951467,26.91379,21.0884280291546,2.4460840643469437,12.436834,27.631052
SM 90 cm,17.775722718039773,2.7573664484536438,10.978236,26.370317,19.550331534974976,2.990202714820785,11.814401,27.956844
ETa,0.5746252744247159,0.142767246792149,0.41717944,0.9477615,0.5445822087837767,0.10033200477744432,0.41703042,0.81116515
Precipitation,49.65762073863637,18.76881866276935,22.08,76.44,50.14955754543061,18.695957750080627,22.08,76.44
Yield (kg/ha),3553.49539229937,1902.5388252366154,89.461297926,9367.3974659,3545.202249971539,1509.1544902684027,60.1024909288,10202.7255611
