,,R2_CV,R2_CV,R2_CV,R2_CV,RMSE_CV,RMSE_CV,RMSE_CV,RMSE_CV,RRMSE_CV,RRMSE_CV,RRMSE_CV,RRMSE_CV
Class,,All,Dry,Normal,Wet,All,Dry,Normal,Wet,All,Dry,Normal,Wet
Group,Case,,,,,,,,,,,,
ASP,Case1,0.9263433205906066,0.877717778947015,0.7481269088911844,0.5496213545035061,515.1555738746565,324.0026499202331,588.5954221219973,597.0937499966506,14.534933946033892,21.083939921952975,12.497192987062451,11.626591623639365
ASP,Case2,0.9149450586303519,0.8736771856613214,0.745969133118809,0.5384439075779833,553.4920068693897,329.5177832101966,591.0972334865024,604.1483066353634,15.616703562661893,21.441275473537154,12.550978413518258,11.763121624849138
ASP,Case3,0.9289281612220996,0.8749878220417703,0.7521719386435228,0.5460743633681894,505.9184764955282,327.76148960304556,583.8656992144845,599.0142928552234,14.27454470257691,21.330040914239703,12.397309301570985,11.66268293037363
ASP,Case4,0.9297081083016566,0.8761894427447089,0.7538539638804413,0.5460743633681894,503.18972396427864,326.08181091311934,581.8781108011009,599.0142928552234,14.19741605723694,21.22014061466276,12.35532445706511,11.66268293037363
ASP,Case5,0.9276894683291926,0.8783980174868489,0.7495346911981338,0.5384439075779833,510.41295383100567,323.18268145694185,586.9770656567631,604.1483066353634,14.401384055997983,21.032837359924017,12.463760549045773,11.763121624849138
ASP,Case6,0.9292370895648677,0.876208771324025,0.7518964218205789,0.5414090594366668,504.8009761438387,325.9511620832178,584.2043429821958,603.0977075756823,14.24240161164062,21.212048822122956,12.404131265644448,11.745335466759522
ASP,Case7,0.9302872603118602,0.8782150184816025,0.7528486509470341,0.5414090594366668,501.1513892638707,323.4362713950785,583.0920464182433,603.0977075756823,14.140118484972465,21.046127217389,12.380710092602445,11.745335466759522
ASP,Case8,0.9174836605891079,0.8377185024932448,0.7160178357547579,0.4026439476528464,545.2988584025582,373.41994327920827,625.0682999826623,688.8130783838192,15.385841336106822,24.30542861012119,13.272667610067671,13.414175912211785
ASP+BAU,Case1,0.9050983363197924,0.849683016052323,0.7650928621400452,0.7823696322229864,530.4674259828673,362.6905047172868,582.9871459265885,499.0971538133375,14.942428111743633,20.837640724490445,12.722584877319742,11.617187466761015
ASP+BAU,Case2,0.8933882797158856,0.8492465840306428,0.7612725646676162,0.7874584251673908,562.262490883735,363.2365113703488,587.7269753229396,493.08655176450384,15.838217920353168,20.867956423910183,12.826243361978047,11.476533667870518
ASP+BAU,Case3,0.9089991014543573,0.8543643449048692,0.7687898122371791,0.7862244903061123,519.4861071853251,356.87910687242885,578.4067073501499,494.4438226901263,14.632685574330077,20.504423822285766,12.622807986141845,11.50940532612722
ASP+BAU,Case4,0.908761416105639,0.8569270723654867,0.7678813273425774,0.7862244903061123,520.1818635189977,353.91056568053517,579.5409259206734,494.4438226901263,14.652342497978484,20.333541985331614,12.647533039641061,11.50940532612722
ASP+BAU,Case5,0.9067692573798464,0.8530185290896748,0.7644977800757375,0.7874584251673908,525.8294344698279,358.6869293419656,583.780574374453,493.08655176450384,14.811148993175626,20.60776676783842,12.740172349520995,11.476533667870518
ASP+BAU,Case6,0.9092222996974716,0.858292632591256,0.7662261123575151,0.7830350609056983,518.8703390198299,352.1838978787633,581.6127380276923,498.3177896828207,14.614961442364969,20.234373631094403,12.69267093726825,11.599166987814336
ASP+BAU,Case7,0.9093907799635929,0.8609589323296234,0.7667167161875978,0.7830350609056983,518.3946832417662,348.7737582984948,581.011947245145,498.3177896828207,14.601822054179241,20.038818021628504,12.67971466068864,11.599166987814336
ASP+BAU,Case8,0.8912475781511056,0.8263700081323442,0.7269947313759195,0.7231107419061603,567.8815584503984,389.90929135012476,628.5187953307619,562.8863281946592,15.995524171804087,22.403209732616364,13.716474371546886,13.100532226840453
BAU,Case1,0.884670646004943,0.82139118666252,0.760825771309019,0.716878941159072,512.3930473472502,374.4365962538075,593.3439740581628,408.06178995854606,14.457291665968551,18.748398999407193,13.34592445994098,10.891640489644518
BAU,Case2,0.8882728190944398,0.8202788572765257,0.7675835803476686,0.7161369445624493,504.3550601629757,375.6056977625154,584.8659239269925,408.4646971958168,14.230120994043673,18.80656443150544,13.155827817163253,10.902459699377879
BAU,Case3,0.8929481576307456,0.8373708497727593,0.7701262106832564,0.7115857760569877,493.77284452236125,357.4439590300017,581.6371920925557,411.9017695638082,13.931705501839366,17.892300399863913,13.083551900255987,10.993785030109535
BAU,Case4,0.8929597759583082,0.8413613943487688,0.7701262106832564,0.7115857760569877,493.69321197386336,352.99438007961857,581.6371920925557,411.9017695638082,13.929412024543378,17.671635457539683,13.083551900255987,10.993785030109535
BAU,Case5,0.8916416732440199,0.8336711429587433,0.7675835803476686,0.7161369445624493,496.70881159842673,361.32397529940215,584.8659239269925,408.4646971958168,14.014215500160441,18.09099245283508,13.155827817163253,10.902459699377879
BAU,Case6,0.8935370312194971,0.8430525603753113,0.7736228858668537,0.7158470118468684,492.44075705952383,351.3813723795414,577.2889964327268,408.86581100350514,13.894177536240989,17.587168861929673,12.985390388158104,10.91325561801124
BAU,Case7,0.8953809868690087,0.843167061441029,0.7736228858668537,0.7158470118468684,488.0858133741688,351.4410987148503,577.2889964327268,408.86581100350514,13.771056011866747,17.58610846277333,12.985390388158104,10.91325561801124
BAU,Case8,0.87563334217738,0.8256176434418047,0.7298047205198421,0.6342569134132795,532.2258800573569,370.6123079440167,630.6960535259498,463.86261771266817,15.016767302181051,18.54396282042831,14.185983222283264,12.381316197042384
